Title,Description,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Game of Thrones,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",44,"Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",9.3,1823966,2011–2019
Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,44,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",9.4,1526926,2008–2013
The Walking Dead,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,44,"Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",8.2,874725,2010–2022
Stranger Things,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",60,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",8.7,864302,2016–
Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,88,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",9.1,830345,2010–2017
The Big Bang Theory,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,22,"Comedy, Romance","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",8.1,737437,2007–2019
Dexter,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",53,"Crime, Drama, Mystery","Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",8.6,658516,2006–2021
How I Met Your Mother,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,22,"Comedy, Romance","Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",8.3,618121,2005–2014
True Detective,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",8.9,510795,2014–2019
Lost,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,44,"Adventure, Drama, Fantasy","Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",8.3,507182,2004–2010
Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",44,"Action, Crime, Drama","Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",8.3,487718,2005–2017
House of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",8.7,473737,2013–2018
Black Mirror,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,"Drama, Sci-Fi, Thriller","Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",8.8,462587,2011–
Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",22,"Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",8.5,451657,2013–2020
The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",60,Comedy,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",8.9,441951,2005–2013
Westworld,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",62,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton",8.6,439841,2016–
House M.D.,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,44,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",8.7,422601,2004–2012
Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",42,"Action, Adventure, Crime","Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",7.5,412385,2012–2020
Supernatural,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",44,"Drama, Fantasy, Horror","Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins",8.4,399980,2005–2020
Rick and Morty,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,"Animation, Adventure, Comedy","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",9.2,395283,2013–
Peaky Blinders,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",49,"Crime, Drama","Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",8.8,380395,2013–
Suits,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",44,"Comedy, Drama","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",8.4,371333,2011–2019
Modern Family,Three different but related families face trials and tribulations in their own uniquely comedic ways.,22,"Comedy, Drama, Romance","""Ed ONeill"", Sofía Vergara, Julie Bowen, Ty Burrell",8.4,371124,2009–2020
Daredevil,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54,"Action, Crime, Drama","Charlie Cox, ""Vincent DOnofrio"", Deborah Ann Woll, Elden Henson",8.6,371065,2015–2018
Narcos,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,"Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",8.8,370793,2015–2017
Mr. Robot,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49,"Crime, Drama, Thriller","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström",8.5,342252,2015–2019
Better Call Saul,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",46,"Crime, Drama","Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",8.7,341222,2015–
Fargo,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",8.9,337527,2014–
La casa de papel,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,70,"Action, Crime, Mystery","Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",8.3,331408,2017–2021
The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40,"Action, Adventure, Sci-Fi","Pedro Pascal, Gina Carano, Giancarlo Esposito, Chris Bartlett",8.8,325891,2019–
The Witcher,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",60,"Action, Adventure, Fantasy","Henry Cavill, Anna Shaffer, Freya Allan, Yasen Atour",8.2,321466,2019–
Homeland,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,55,"Crime, Drama, Mystery","Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",8.3,320237,2011–2020
The Flash,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",43,"Action, Adventure, Drama","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",7.6,314534,2014–
Dark,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",60,"Crime, Drama, Mystery","Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne",8.8,305353,2017–2020
The Wire,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",9.3,294150,2002–2008
The Vampire Diaries,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",43,"Drama, Fantasy, Horror","Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",7.7,290496,2009–2017
Orange Is the New Black,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",59,"Comedy, Crime, Drama","Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles",8,282708,2013–2019
American Horror Story,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",60,"Drama, Horror, Thriller","Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson",8,282563,2011–
Arrested Development,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",8.7,281873,2003–2019
The Boys,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,60,"Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",8.7,279838,2019–
Sons of Anarchy,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,"Crime, Drama, Thriller","Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",8.5,267551,2008–2014
13 Reasons Why,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",60,"Drama, Mystery, Thriller","Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe",7.6,262763,2017–2020
Grey's Anatomy,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,30,"Drama, Romance","Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",7.5,261340,2005–
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,"Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",9.3,260893,2005–2008
Death Note: Desu nôto,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,24,"Animation, Crime, Drama","Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",9,256108,2006–2007
Lucifer,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,45,"Crime, Drama, Fantasy","Tom Ellis, Lauren German, Lesley-Ann Brandt, Kevin Alejandro",8.1,252826,2016–
Firefly,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",44,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",9,247589,2002–2003
Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,22,"Comedy, Romance","Jon Cryer, Ashton Kutcher, Angus T. Jones, Conchata Ferrell",7,245102,2003–2015
Brooklyn Nine-Nine,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",22,"Comedy, Crime","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",8.4,242429,2013–2022
Scrubs,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life.",22,"Comedy, Drama","Zach Braff, Donald Faison, Sarah Chalke, John C. McGinley",8.3,240695,2001–2010
Shingeki no kyojin,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,"Animation, Action, Adventure","Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa",9,234234,2013–2021
Hannibal,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,44,"Crime, Drama, Horror","Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne",8.5,234047,2013–2015
True Blood,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire.",55,"Drama, Fantasy, Mystery","Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten",7.8,231653,2008–2014
Heroes,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.,45,"Drama, Fantasy, Sci-Fi","Jack Coleman, Hayden Panettiere, Milo Ventimiglia, Masi Oka",7.5,231384,II 2006–2010
Mindhunter,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",60,"Crime, Drama, Thriller","Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",8.6,230420,2017–2019
Community,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,Comedy,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",8.5,227366,2009–2015
Spartacus: Blood and Sand,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,"Action, Adventure, Biography","Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel",8.5,227020,2010–2013
Fringe,An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.,46,"Drama, Mystery, Sci-Fi","Anna Torv, Joshua Jackson, John Noble, Jasika Nicole",8.4,224181,2008–2013
The 100,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.",43,"Drama, Mystery, Sci-Fi","Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",7.6,224132,2014–2020
Parks and Recreation,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22,Comedy,"Amy Poehler, ""Jim OHeir"", Nick Offerman, Chris Pratt",8.6,223130,2009–2020
Gotham,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,42,"Action, Crime, Drama","Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova",7.8,214918,2014–2019
Mad Men,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",47,Drama,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones",8.6,213620,2007–2015
Once Upon a Time,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,60,"Adventure, Fantasy, Romance","Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",7.7,211260,2011–2018
Shameless,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,"Comedy, Drama","Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White",8.5,211076,2011–2021
The Blacklist,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",41,"Crime, Drama, Mystery","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold",8,207764,2013–
Agents of S.H.I.E.L.D.,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",45,"Action, Adventure, Drama","Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker",7.5,203586,2013–2020
Doctor Who,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,"Adventure, Drama, Family","Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",8.6,202938,2005–
Ozark,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",60,"Crime, Drama, Thriller","Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",8.4,200966,2017–
New Girl,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",22,Comedy,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",7.7,198036,2011–2018
Jessica Jones,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.",56,"Action, Crime, Drama","Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss",7.9,196410,2015–2019
It's Always Sunny in Philadelphia,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,Comedy,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",8.8,195045,2005–
The Punisher,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",53,"Action, Crime, Drama","Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore",8.5,191555,2017–2019
The Handmaid's Tale,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",42,"Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd",8.4,187007,2017–
Boardwalk Empire,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,"Crime, Drama, History","Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham",8.5,175133,2010–2014
24,Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,44,"Action, Crime, Drama","Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert",8.3,174994,2001–2010
Californication,"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.",28,"Comedy, Drama","David Duchovny, Natascha McElhone, Evan Handler, Pamela Adlon",8.3,173192,2007–2014
Sex Education,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,45,"Comedy, Drama","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",8.3,171342,2019–
The Mentalist,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter.",43,"Crime, Drama, Mystery","Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman",8.1,168774,2008–2015
Downton Abbey,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58,"Drama, Romance","Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle",8.7,168268,2010–2015
Criminal Minds,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.",44,"Crime, Drama, Mystery","Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna",8,167842,2005–2020
The Crown,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,58,"Biography, Drama, History","Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",8.6,166196,2016–
Person of Interest,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery.",43,"Action, Crime, Drama","Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson",8.4,165694,2011–2016
Big Little Lies,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.",60,"Crime, Drama, Mystery","Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz",8.5,164819,2017–2019
Entourage,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,28,"Comedy, Drama","Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara",8.4,160042,2004–2011
Rome,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,52,"Action, Drama, History","Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon",8.7,158080,2005–2007
Gossip Girl,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,42,"Drama, Romance","Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick",7.4,157721,2007–2012
Battlestar Galactica,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",44,"Action, Adventure, Drama","Edward James Olmos, Mary McDonnell, Jamie Bamber, James Callis",8.7,155262,2004–2009
Pretty Little Liars,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",44,"Drama, Mystery, Romance","Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell",7.4,154731,2010–2017
The End of the F***ing World,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.",25,"Adventure, Comedy, Crime","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley",8.1,154366,2017–2019
You,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",45,"Crime, Drama, Romance","Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail",7.7,153731,2018–
Altered Carbon,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.",60,"Action, Drama, Sci-Fi","Chris Conner, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee",8,147206,2018–2020
Bones,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.",40,"Comedy, Crime, Drama","Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne",7.8,142888,2005–2017
Castle,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",43,"Comedy, Crime, Drama","Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas",8.1,142862,2009–2016
Sense8,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.",60,"Drama, Mystery, Sci-Fi","Bae Doona, Jamie Clayton, Tina Desai, Tuppence Middleton",8.3,142799,2015–2018
Archer,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,22,"Animation, Action, Comedy","H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell",8.6,140355,2009–
Glee,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,44,"Comedy, Drama, Music","Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith",6.7,138844,2009–2015
The IT Crowd,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,Comedy,"""Chris ODowd"", Richard Ayoade, Katherine Parkinson, Matt Berry",8.5,137572,2006–2013
How to Get Away with Murder,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,43,"Crime, Drama, Mystery","Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King",8.1,134288,2014–2020
